EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
X400x552AL-11m2,2018,Pollen,400,,-1,FALSE,552,A,11,m2,R71A11,TRUE,11,217,228,4.824561404,0,0,0.996,0.985,0.985,,,,,,,,,,,,,,,,,
X400x552AL-11m3,2018,Pollen,400,,-1,FALSE,552,A,11,m3,R71A11,,3,54,57,5.263157895,0,0,0.989,0.952,0.954,,,,,,,,,,,,,,,,,
X400x552AL-3m2,2018,Pollen,400,,-1,FALSE,552,A,3,m2,R71A11,,15,142,157,9.554140127,4,2.484,0.861,0.943,0.934,,,,,,,,,,,,,,,,,
X400x552AL-8m1,2018,Pollen,400,,-1,FALSE,552,A,8,m1,R71A11,,0,3,3,0,1,25,0.564,0.451,0.474,,,,,,,,,,,,,,,,,
X400x552AL-8m5,2018,Pollen,400,,-1,FALSE,552,A,8,m5,R71A11,TRUE,0,1,1,0,0,0,nan,0.999,0.999,,,,,,,,,,,,,,,,,
X400x554A-2m1,2018,Pollen,400,,-1,FALSE,554,A,2,m1,R71A11,TRUE,3,170,173,1.734104046,0,0,0.993,0.984,0.984,,,,,,,,,,,,,,,,,
X400x554A-4m1,2018,Pollen,400,,-1,FALSE,554,A,4,m1,R71A11,,7,181,188,3.723404255,0,0,0.996,0.978,0.979,,,,,,,,,,,,,,,,,
X400x554A-4m3,2018,Pollen,400,,-1,FALSE,554,A,4,m3,R71A11,,0,18,18,0,0,0,nan,0.993,0.993,,,,,,,,,,,,,,,,,
X400x554A-4m4,2018,Pollen,400,,-1,FALSE,554,A,4,m4,R71A11,,0,26,26,0,0,0,nan,0.974,0.974,,,,,,,,,,,,,,,,,
X400x555B-3m1,2018,Pollen,400,,-1,FALSE,555,B,3,m1,R71A11,,0,284,284,0,1,0.351,0.474,0.971,0.969,,,,,,,,,,,,,,,,,
X400x568AL-1m1,2018,Pollen,400,,-1,FALSE,568,A,1,m1,R82A03,,95,209,304,31.25,0,0,0.989,0.985,0.986,,,,,,,,,,,,,,,,,
X400x568AL-4m1,2018,Pollen,400,,-1,FALSE,568,A,4,m1,R82A03,TRUE,126,195,321,39.25233645,2,0.619,0.976,0.979,0.978,,,,,,,,,,,,,,,,,
X400x569AL-2m1,2018,Pollen,400,,-1,FALSE,569,A,2,m1,R82A03,,159,229,388,40.97938144,0,0,0.992,0.985,0.988,158,228,37,386,40.93264249,1,1,1,1,2,2,0.046738956,0.046738956,1.00114185,0.006309148,0.004376368,0.005167959
X400x570AL-1m2,2018,Pollen,400,,-1,FALSE,570,A,1,m2,R84A12,,57,123,180,31.66666667,1,0.552,0.978,0.988,0.985,,,,,,,,,,,,,,,,,
X400x570AL-4m2,2018,Pollen,400,,-1,FALSE,570,A,4,m2,R84A12,,79,222,301,26.24584718,4,1.311,0.952,0.97,0.966,73,213,29,286,25.52447552,6,6,9,9,15,15,0.721371652,0.721371652,1.028261958,0.078947368,0.04137931,0.051107325
X400x571A-2m1,2018,Pollen,400,,-1,FALSE,571,A,2,m1,R82A03,,147,187,334,44.01197605,3,0.89,0.963,0.971,0.968,,,,,,,,,,,,,,,,,
X400x571B-1m2,2018,Pollen,400,,-1,FALSE,571,B,1,m2,R82A03,,166,194,360,46.11111111,1,0.277,0.976,0.98,0.978,,,,,,,,,,,,,,,,,
X400x572B-4m1,2018,Pollen,400,,-1,FALSE,572,B,4,m1,R84A12,,36,182,218,16.51376147,0,0,0.969,0.96,0.962,,,,,,,,,,,,,,,,,
X400x572C-5m1,2018,Pollen,400,,-1,FALSE,572,C,5,m1,R84A12,TRUE,95,271,366,25.95628415,1,0.272,0.968,0.976,0.974,96,275,20,371,25.87601078,-1,1,-4,4,-5,5,0.080273371,0.080273371,1.003102231,-0.010471204,-0.014652015,-0.013568521
X400x574-2m1,2018,Pollen,400,,-1,FALSE,574,,2,m1,R84A12,,119,19,138,86.23188406,2,1.429,0.977,0.708,0.937,,,,,,,,,,,,,,,,,
