EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Y1x293A-3m4,2019,Pollen,1,,-1,FALSE,293,A,3,m4,R71A11,,1,3,4,25,0,0,0.21,0.51,0.435,,,,,,,,,,,,,,,,,
Y1x331AL-11,2019,Pollen,1,,-1,FALSE,331,A,11,,R82C05,,69,294,363,19.00826446,33,8.333,0.761,0.925,0.886,64,350,0,414,15.4589372,5,5,-56,56,-51,51,3.549327265,3.549327265,1.229597107,0.07518797,-0.173913043,-0.131274131
Y1x331AL-2,2019,Pollen,1,,-1,FALSE,331,A,2,,R82C05,,86,259,345,24.92753623,8,2.266,0.931,0.965,0.956,85,275,5,360,23.61111111,1,1,-16,16,-15,15,1.316425121,1.316425121,1.055754476,0.011695906,-0.059925094,-0.042553191
Y1x331AL-7,2019,Pollen,1,,-1,FALSE,331,A,7,,R82C05,,63,276,339,18.5840708,70,17.115,0.697,0.863,0.817,38,374,4,412,9.223300971,25,25,-98,98,-73,73,9.360769826,9.360769826,2.014904518,0.495049505,-0.301538462,-0.194407457
Y1x331AL-8,2019,Pollen,1,,-1,FALSE,331,A,8,,R82C05,,33,285,318,10.37735849,68,17.617,0.616,0.861,0.806,15,385,4,400,3.75,18,18,-100,100,-82,82,6.627358491,6.627358491,2.767295597,0.75,-0.298507463,-0.228412256
Y1x331BL-10,2019,Pollen,1,,-1,FALSE,331,B,10,,R82C05,,386,17,403,95.78163772,1,0.248,0.984,0.938,0.982,,,,,,,,,,,,,,,,,
Y1x331BL-3,2019,Pollen,1,,-1,FALSE,331,B,3,,R82C05,,353,2,355,99.43661972,6,1.662,0.971,0.404,0.959,,,,,,,,,,,,,,,,,
Y1x331BL-4,2019,Pollen,1,,-1,FALSE,331,B,4,,R82C05,,236,17,253,93.28063241,12,4.528,0.954,0.712,0.929,,,,,,,,,,,,,,,,,
Y1x331BL-6,2019,Pollen,1,,-1,FALSE,331,B,6,,R82C05,,359,3,362,99.17127072,3,0.822,0.978,0.532,0.971,,,,,,,,,,,,,,,,,
Y1x375A-4,2019,Pollen,1,,-1,FALSE,375,A,4,,R84A12,,98,207,305,32.13114754,8,2.556,0.938,0.959,0.952,90,217,10,307,29.31596091,8,8,-10,10,-2,2,2.815186629,2.815186629,1.096029144,0.085106383,-0.047169811,-0.006535948
